id;nome;email;telefone;cpf;data_hora;valor;observacao
331;Daniela Ana Pereira;nnkykw@outlook.com;(99)94817-9083;809.685.622-05;26/03/2021 04:52:21;R$ 45.038,80;id|obs|csv|erro|obs
332;Daniela William Oliveira;589cahrm@gov.br;(93) 983339382;527.645.412-49;15/10/2022 14:07:10;R$ 74.426,11;revisar|json|###|atenção
333;Otávio Oliveira;cqd81t@bol.com.br;(94) 96031-1330;34252424600;29/10/2025 14:05:34;R$ 229.196,27;ok|id|normalizar|csv
334;esm339x@.com.br;93 981479974;307.487.701-49;26/03/2025 11:44:24;R$ 165.162,21;ticket|id|LIMPAR|LIMPAR|id|revisar
335;Yasmin Pereira;a4g4qb@empresa.com.br;(98) 92023-9899;927.162.424-84;19/09/2021 13:39:23;R$ 55.668,78;ok|tmp|***|reenviado
336;Patrícia Costa;a6u76@bol.com.br;(97) 933005465;547.551.698-9;17/11/2025 08:50:24;R$ 211.877,65;falhou|ok|csv|pendente|auto|erro|atenção
337;Quésia Mendes;q_bilf0dshl@outlook.com;(92) 925924077;115.655.515-05;11/11/2025 09:54:34;R$ 237.459,86;reenviado|json|obs
338;Ursula Pereira;tpuuatl58@bol.com.br;(99) 94875-7273;896.902.347-05;29/11/2021 12:58:09;R$ 53.477,88;duplicado|atenção|ok
339;zuleica william tavares;@outlook.com;97 953668469;733.587.46-88;06/05/2023 03:49:48;R$ 76.928,79;json|auto|???|duplicado|csv|json|anexo|anexo
340;Otávio Quésia Monteiro;hdz9_s@.com.br;(97) 931577070;607.507.103-79;06/10/2021 10:09:45;R$ 224.798,25;csv|revisar|protocolo|atenção|reenviado|atenção|revisar|manual
341;Bruno Araújo;s3j77v12tfu@UFPA.BR;91 960326772;540.728.486-83;30/11/2023 18:36:22;R$ 55.288,22;LIMPAR|***|revisar
342;William Pereira;ma1sszyx4wr8@empresa.com.br;(92) 58753-3938;896.704.976-49;27/04/2024 21:42:56;R$ 128.821,52;URGENTE|normalizar|csv|LIMPAR|falhou|normalizar|ticket|csv
343;Daniela Marcos Barbosa;0axmxnxi@empresa.com.br;(97) 97094-2767;25198075279;25/03/2025 20:10:50;R$ 63.649,99;ticket|id|obs
344;Quésia Oliveira;xjjp7@bol.com.br;(91) 93655-4562;171.180.141-69;09/12/2024 21:30:54;R$ 88.875,31;manual|???|anexo|LIMPAR|duplicado|anexo|tmp
345;Kleber Marcos Almeida;agp3b8bol.com.br;(91) 96501-7318;219.423.734-20;17/10/2022 03:05:17;R$ 76.061,32;csv|###|tmp|atenção|manual
346;Rafael Patrícia Lima;tu3ljf@hotmail.com;99 992116223;529.740.661-73;22/10/2022 20:49:58;R$ 92.036,82;reenviado|atenção|id|falhou
347;Ursula Santos;izljq3bevd9@outlook.com;95 976076156;319.867.563-92;27/08/2022 00:30:14;R$ 28.217,01;json|LIMPAR|obs|obs|manual|LIMPAR|###|normalizar
348;Gabriel Santos;b0zt4v4@loja.com.br;93 923305226;981.546.703-14;28/09/2023 04:59:39;R$ 150.862,85;ticket|falhou|auto|LIMPAR|***
349;Gabriel Araújo;xym.qm@ufpa.br;(97) 99931-2498;790.536.970-44;27/10/2024 21:49:24;R$ 148.196,36;falhou|erro|normalizar|obs|atenção|URGENTE
350;Natália Mendes;luneqolymn@loja.com.br;(96) 957184946;600.230.532-17;24/05/2025 04:45:05;R$ 180.874,30;erro|anexo|obs|id|auto
351;Ursula Nogueira;qvgcj@gov.br;(98) 949465091;26083571445;07/08/2021 22:34:04;R$ 53.277,23;LIMPAR|reenviado|csv
352;William Monteiro;zl28q82qzdbjbol.com.br;(92) 96435-9918;294.980.605-24;02/09/2021 18:22:40;R$ 223.988,43;falhou|manual|id|ok|duplicado
353;Quésia Ana Lima;rcaxg63jdz@ufpa.br;91 993329559;183.751.089-57;04/06/2023 13:22:46;R$ 172.939,16;manual|erro|reenviado|erro|manual
354;Vinícius Costa;kedh8yz0po@bol.com.br;(94) 930504240;169.073.059-22;27/03/2025 01:11:26;R$ 13.335,03;pendente|***|id|auto|pendente|LIMPAR
355;Marcos Cardoso;kd3z8_bns9@outlook.com;(91) 95189-6807;644.840.734-68;31/12/2023 14:01:45;R$ 37.595,94;pendente|obs|pendente|duplicado
356;Ana Helena Costa;c5g5387r@hotmail.com;93 973397275;415.115.245-54;13/07/2025 21:12:02;R$ 63.409,68;erro|falhou|***|ok|csv|ticket|LIMPAR|auto
357;Bruno Helena Nogueira;hc0n30na@gov.br;(93) 93741-4850;704.036.881-07;14/04/2023 10:15:05;R$ 13.436,65;csv|LIMPAR|LIMPAR|atenção|pendente|erro|###|???
358;Otávio Kleber Mendes;je91c0@gmail.com;(95) 926985714;939.590.42-97;07/06/2022 00:45:36;R$ 209.472,21;revisar|auto|erro|atenção|???|normalizar|protocolo|auto
359;Gabriel Lima;1pzw38gp@outlook.com;93 61559-7824;655.340.899-72;20/04/2023 00:28:02;R$ 149.619,49;json|***|revisar
360;Juliana Fernanda Cardoso;gfne1p7uy_e4@gov.br;(96) 92089-4229;117.968.870-34;05/05/2024 07:32:47;R$ 244.757,58;LIMPAR|???|anexo|ok|duplicado|LIMPAR|json
361;Daniela Silva;b1kev6cay@outlook.com;(98) 93285-8159;043.047.044-41;05/12/2025 17:36:07;R$ 137.780,77;###|tmp|id|protocolo
362;Rafael Lima;ve_411t41pky@hotmail.com;97 995287154;222.206.506-9;27/05/2025 08:48:58;R$ 230.291,79;atenção|id|revisar
363;Daniela Monteiro;2h9222xawjwo@@outlook.com;139.526.114-87;09/05/2024 16:48:51;R$ 119.146,48;json|anexo|id|falhou|normalizar|protocolo|***|pendente
364;Rafael Monteiro;hsa9p.w@hotmail.com;(93)95328-1873;519.637.168-58;10/03/2023 05:15:45;R$ 43.338,08;reenviado|protocolo|pendente|duplicado|csv
365;Eduardo Araújo;arx3e@loja.com.br;(91) 913940672;961.138.401-7;11/03/2021 06:30:25;R$ 61.931,37;LIMPAR|atenção|???|duplicado|erro|revisar|manual|normalizar
366;Daniela Fernanda Tavares;tfnv_s5v81@@loja.com.br;98 23939-1160;415.256.35-15;14/04/2025 08:25:00;R$ 82.715,96;json|protocolo|URGENTE|obs|obs
367;Otávio Santos;851r1asq@empresa.com.br;(94)95152-8189;187.198.715-83;04/04/2021 01:26:57;R$ 67.254,80;URGENTE|csv|anexo|***
368;Natália Souza;xzrkjwebje@hotmail.com;(91) 92849-9725;287.978.239-40;05/01/2025 20:01:11;R$ 54.642,25;obs|duplicado|anexo|anexo|***|normalizar|atenção
369;Sabrina Zuleica Castro;h73icv095@bol.com.br;(98) 92789-3651;199.706.901-70;08/02/2025 08:12:19;R$ 136.214,39;ok|erro|falhou|LIMPAR|revisar|protocolo
370;Igor Fernanda Mendes;vo8j7zweju@hotmail.com;(96) 971717221;068.178.923-11;13/10/2024 05:05:43;R$ 221.875,75;anexo|id|###|erro|protocolo|falhou|ticket
371;Vinícius Pereira;twmy7bwm0h@bol.com.br;077.636.368-66;12/01/2025 07:19:21;R$ 72.032,13;auto|ticket|protocolo|pendente|***|atenção|csv|revisar
372;Eduardo Ana Silva;c7b63rux@ufpa.br;(92) 93441-9373;095.441.765-93;15/09/2024 20:26:40;R$ 103.876,68;reenviado|json|id|erro|revisar|reenviado|anexo|atenção
373;juliana cardoso;ro91f_04ol@bol.com.br;(91) 966428700;141.521.384-18;23/06/2024 09:20:47;R$ 205.009,86;anexo|csv|???|tmp|###
374;Eduardo Carlos Monteiro;dymrg18o@hotmail.com;(92) 52592-7270;400.159.54-51;15/10/2023 15:53:21;R$ 89.774,26;pendente|pendente|***|revisar
375;Ursula Santos;sl1s5sp@empresa.com.br;(97) 96065-9682;189.282.159-91;02/04/2022 10:31:42;R$ 162.109,02;duplicado|protocolo|manual|reenviado|***|###
376;Otávio Araújo;dpl7sw4n@loja.com.br;(91) 949023228;381.443.115-14;02/05/2021 02:01:58;R$ 33.324,46;ticket|tmp|manual|obs|revisar|###|pendente
377;Marcos Marcos Tavares;nbhxp1t3v1y@hotmail.com;(98) 98528-5554;830.592.229-09;25/02/2021 11:08:27;R$ 63.394,35;tmp|id|tmp|???|json|***|reenviado|atenção
378;Yasmin Larissa Costa;lxt_268dv0z@bol.com.br;98 974214905;518.601.861-72;17/07/2024 17:03:49;R$ 141.297,29;manual|ticket|reenviado|???|reenviado|obs|normalizar|obs
379;Eduardo Eduardo Cardoso;oy2sfktlr@bol.com.br;99 41811-1768;57362754615;05/08/2023 01:23:34;R$ 139.168,92;duplicado|json|***|***|***|anexo
380;Vinícius Patrícia Santos;8balrl28@outlook.com;(93)93157-8183;159.668.23-15;20/09/2021 08:09:04;R$ 194.258,68;***|anexo|json|manual|manual
381;Igor Cardoso;cr0iglc@bol.com.br;(95) 990799663;948.321.498-01;26/06/2021 04:51:07;R$ 2.217,52;###|tmp|***|obs|id|duplicado|tmp
382;Sabrina Larissa Mendes;m9pkjq@hotmail.com;(92) 57022-8211;57929115308;02/12/2023 06:13:55;R$ 226.928,33;erro|LIMPAR|obs|erro|falhou|falhou|ok
383;Vinícius Araújo;ty4e5.0w@bol.com.br;(95)96903-5374;694.859.090-29;03/01/2021 02:13:01;R$ 130.470,04;protocolo|anexo|obs|erro|obs|falhou|normalizar|ok
384;Daniela Zuleica Tavares;p2nxuvxogdfgmail.com;98 991038336;063.728.213-99;23/11/2024 10:09:17;R$ 58.908,46;anexo|auto|###
385;juliana araújo;wkv4y08@hotmail.com;98 87281-2582;089.507.401-26;11/01/2022 15:02:46;R$ 150.152,69;falhou|ticket|reenviado|pendente
386;Eduardo Almeida;ox2g12.v2@bol.com.br;(96) 91099-8350;865.281.297-13;09/06/2021 19:15:31;R$ 12.749,99;URGENTE|###|csv|protocolo|falhou|erro
387;Ana Mendes;kvq9c52fbip@hotmail.com;(98) 98228-9216;751.839.175-06;16/08/2022 03:25:19;R$ 105.880,07;LIMPAR|anexo|anexo|reenviado|normalizar
388;Igor Nogueira;oc8gpk@outlook.com;93 980203257;438.138.25-91;R$ 118.988,77;atenção|revisar|***|auto|revisar
389;quésia thiago santos;(96) 920837276;579.467.717-18;03/01/2025 09:00:51;R$ 57.292,31;ticket|###|URGENTE|LIMPAR|id|duplicado
390;Quésia Lima;undp3es@gmail.com;98 31400-2766;989.770.166-23;22/06/2022 00:17:31;R$ 17.880,84;auto|protocolo|???
391;Larissa Mendes;0xn.pgyt@empresa.com.br;(92) 916979165;64325652508;06/01/2024 05:17:29;R$ 110.051,07;ticket|atenção|obs|ok|protocolo
392;Larissa Almeida;lv__qmprgf1u@hotmail.com;(95) 922772560;575.823.803-65;30/09/2021 17:56:36;R$ 124.280,75;tmp|duplicado|falhou|pendente|falhou|LIMPAR
393;Thiago Larissa Costa;vlb.3k08tc1@UFPA.BR;(96) 96284-2858;259.973.749-86;02/01/2023 08:10:29;R$ 54.584,56;manual|***|json|duplicado|ok|revisar|URGENTE|tmp
394;Eduardo Ursula Souza;(94) 984239016;381.566.35-24;22/04/2025 22:05:01;R$ 147.088,67;erro|anexo|auto|atenção|auto|anexo|protocolo
395;Helena Thiago Costa;8u926p1pe@ufpa.br;(99) 52849-8732;146.528.884-64;04/11/2022 05:00:19;R$ 178.626,33;***|ticket|obs|duplicado|LIMPAR
396;Gabriel Carlos Oliveira;x21zhbh@bol.com.br;(98) 98567-6252;183.837.732-08;21/06/2025 03:43:36;R$ 205.512,64;ticket|csv|pendente|manual|ticket|protocolo|falhou
397;Gabriel Silva;n7dwuac8@hotmail.com;(93) 94675-5512;889.377.462-40;13/07/2022 12:32:00;R$ 17.494,37;***|erro|csv
398;Larissa William Barbosa;y_t55huqyb9@UFPA.BR;97 47056-3714;87019084636;02/06/2024 10:40:01;R$ 128.846,31;pendente|LIMPAR|pendente|###|reenviado|***|falhou|normalizar
399;Juliana Silva;mh2pa2hjry2k@gmail.com;(93) 928688203;344.368.969-30;03/07/2022 11:26:25;R$ 92.175,91;json|json|pendente|obs|anexo|reenviado|falhou|falhou
400;Natália Daniela Pereira;@gov.br;(91) 96452-3786;139.416.066-48;26/05/2025 15:38:46;R$ 74.569,96;json|URGENTE|id
401;Kleber Helena Pereira;fa9goozeq1@bol.com.br;(94) 997480804;402.391.848-49;25/07/2023 10:34:04;R$ 195.376,75;atenção|LIMPAR|###|duplicado|LIMPAR|normalizar|???
402;Daniela Silva;91 985751057;379.579.410-20;31/05/2023 06:59:53;R$ 109.520,70;reenviado|URGENTE|normalizar|URGENTE|csv|###|manual|protocolo
403;Thiago Barbosa;8q9363s4t@hotmail.com;(93) 96196-2038;726.107.746-0;26/10/2021 19:31:04;R$ 195.975,71;anexo|ok|manual|anexo
404;William Pereira;dl0nt7w@ufpa.br;94 940906866;505.726.959-45;12/05/2021 08:32:40;R$ 113.389,62;protocolo|ok|URGENTE|json|manual|erro|revisar|duplicado
405;Quésia Araújo;yfmjc5e4@hotmail.com;(92) 929799167;170.393.393-83;30/12/2024 16:14:18;R$ 48.823,95;reenviado|manual|tmp|id|normalizar|duplicado|id|duplicado
406;Helena Castro;tp9jns3j@outlook.com;(95) 91138-6190;678.345.158-89;08/08/2021 18:32:57;R$ 23.398,22;LIMPAR|anexo|csv|duplicado|anexo|***|LIMPAR
407;Otávio Monteiro;ahocx@gov.br;93 996086963;73694126545;20/04/2022 20:20:04;R$ 199.746,95;duplicado|normalizar|duplicado
408;igor barbosa;2ipm50y@gmail.com;(93) 97133-7714;175.565.301-00;21/09/2021 14:16:14;R$ 222.160,53;manual|csv|duplicado|duplicado|erro|protocolo|revisar
409;Natália Almeida;nkxconp.nx@hotmail.com;(91) 99589-5207;534.001.239-76;27/02/2021 14:39:28;R$ 80.145,83;ticket|anexo|obs|###
410;Thiago Barbosa;g.be6s9@gmail.com;92 962116902;142.117.171-7;22/11/2024 10:23:41;R$ 8.408,98;duplicado|normalizar|URGENTE|csv|protocolo|reenviado
411;Larissa Thiago Monteiro;@ufpa.br;(91) 945756922;614.352.820-97;30/04/2023 01:51:48;R$ 190.208,47;normalizar|LIMPAR|reenviado|ticket|json|pendente|duplicado|***
412;Bruno Otávio Santos;29smzio7@GMAIL.COM;(94)95644-7638;64142388104;04/05/2023 07:47:13;R$ 20.881,67;falhou|pendente|???|reenviado|reenviado
413;Sabrina Sabrina Santos;dkh_nnudfh@ufpa.br;(99) 51338-9913;972.380.469-82;13/09/2025 14:34:41;R$ 49.974,49;???|***|anexo|id
414;Rafael Araújo;9.0_0rcy@outlook.com;(94) 966633687;606.358.379-09;03/09/2025 21:42:25;R$ 200.230,13;json|URGENTE|reenviado|json|LIMPAR|pendente
415;carlos patrícia araújo;27vx1t61zy@ufpa.br;684.520.418-48;21/08/2021 17:12:24;R$ 77.574,28;duplicado|LIMPAR|normalizar|???|###
416;Juliana Juliana Araújo;gjoze4ne79@empresa.com.br;(97) 935244641;946.788.67-41;14/12/2025 18:04:57;R$ 181.656,37;reenviado|URGENTE|json|tmp
417;Igor Eduardo Barbosa;iciqdhv@gov.br;(93) 99265-4941;590.857.993-54;20/07/2024 05:42:12;R$ 31.665,34;URGENTE|atenção|normalizar|tmp
418;Sabrina Lima;1ev1l.o@ufpa.br;91 975307559;896.768.832-76;10/05/2025 01:01:34;ok|revisar|pendente|erro|erro|auto
419;Quésia Bruno Pereira;5iw1_y@gmail.com;92 14995-8902;340.614.726-96;25/01/2025 18:35:49;R$ 15.517,82;manual|***|manual|csv|obs|ticket
420;Yasmin Araújo;brop490k@empresa.com.br;(91) 57657-4362;944.766.485-80;19/03/2023 14:44:35;R$ 38.510,24;protocolo|ticket|???|atenção
421;Marcos Silva;ypflpm@empresa.com.br;(91) 53440-8246;613.790.27-21;06/10/2023 10:27:43;R$ 79.059,46;reenviado|csv|duplicado
422;Natália Araújo;vhz445d@hotmail.com;(97) 996147380;788.590.58-62;01/10/2025 19:22:23;R$ 64.171,30;atenção|manual|csv|protocolo|revisar|pendente
423;Kleber Barbosa;y5jlg2k06d@gmail.com;(99) 55749-9721;352.353.113-08;20/02/2021 18:05:41;R$ 214.996,61;json|ticket|LIMPAR|anexo|protocolo|???
424;Otávio Quésia Mendes;b9flpb@ufpa.br;(91) 963216859;78777286829;10/02/2023 22:13:06;R$ 213.409,89;id|protocolo|pendente|***|falhou|erro|LIMPAR|falhou
425;Rafael Carlos Barbosa;3i5wq8x.b7@ufpa.br;96 932808130;792.463.461-71;16/03/2024 04:11:08;R$ 106.037,08;URGENTE|auto|***|revisar|duplicado|ticket|duplicado|???
426;Otávio Ursula Tavares;t2nkkzwuygov.br;(92) 975987504;410.899.97-70;11/03/2024 19:52:55;R$ 13.154,38;ok|normalizar|reenviado|csv|ok|tmp
427;Juliana Pereira;ld1b7iv3ig@hotmail.com;(93) 982356847;298.677.244-23;03/04/2023 10:54:07;R$ 191.115,34;anexo|protocolo|normalizar
428;Otávio Lima;1km_w@bol.com.br;(95) 945197335;539.299.424-7;08/10/2023 20:34:31;R$ 105.335,58;id|URGENTE|auto|anexo|auto|obs
429;Juliana Almeida;ntol1uvrqv@empresa.com.br;93 99371-7231;881.977.863-85;27/01/2021 18:18:40;R$ 111.922,08;erro|reenviado|???
430;Marcos Kleber Nogueira;jx_mb4rs6@GMAIL.COM;(93) 95156-3877;627.715.729-68;14/05/2022 16:06:26;R$ 108.878,97;LIMPAR|LIMPAR|reenviado|anexo|pendente|falhou
431;Vinícius Yasmin Monteiro;6pcbn_xh9q@bol.com.br;92 945445346;468.965.266-70;27/08/2025 12:55:59;R$ 90.645,58;tmp|manual|pendente
432;Natália Vinícius Cardoso;u3kialam3zz3@gov.br;(92) 93657-4003;238.459.607-50;26/01/2025 21:58:28;R$ 101.108,29;protocolo|falhou|erro|erro|id|id|revisar
433;Marcos Mendes;k9jv074@gmail.com;(96)96705-5879;65696695330;31/10/2023 13:25:55;R$ 185.016,05;anexo|anexo|pendente|###|normalizar|###|anexo
434;Gabriel Bruno Lima;k5699q83m@hotmail.com;(96) 943550080;771.844.520-84;24/06/2022 16:32:59;R$ 159.625,25;ok|ticket|###|tmp|ok|pendente|ok|atenção
435;Ursula Castro;om2hi@loja.com.br;96 997784497;522.559.174-79;28/05/2021 09:24:26;R$ 47.607,03;revisar|json|protocolo|ok|protocolo|manual
436;Otávio Otávio Pereira;16qa.v7jd..h@ufpa.br;94 966877576;481.646.911-46;07/07/2023 21:53:44;falhou|duplicado|URGENTE|LIMPAR|LIMPAR|manual|manual|id
437;William Lima;d_ra0qzstc1@gov.br;(99) 54005-2318;768.566.075-31;19/06/2023 05:14:52;R$ 20.308,87;anexo|erro|obs|protocolo|obs|tmp
438;Ursula Mendes;18nt.s9@outlook.com;97 988089230;035.854.755-33;22/08/2022 21:04:56;R$ 157.319,68;???|anexo|erro|protocolo|protocolo|obs
439;Otávio Castro;roakblzl10z@gov.br;95 924020408;220.520.113-0;21/09/2024 17:32:21;R$ 40.782,82;ticket|ticket|protocolo|manual
440;Ana Ursula Tavares;0xgxtu@outlook.com;(96) 98953-4974;694.167.337-91;22/06/2023 12:41:38;R$ 180.100,64;###|###|protocolo|URGENTE
441;Thiago Cardoso;7j_49bv0jhlp@gmail.com;(97)93163-1837;766.717.896-32;15/11/2021 01:14:29;R$ 104.144,67;***|csv|normalizar|tmp
442;Gabriel Marcos Tavares;1b5wx@ufpa.br;(92) 97729-7875;428.367.182-27;21/05/2024 06:37:54;R$ 61.069,43;auto|manual|normalizar|auto|ticket|pendente|***|revisar
443;Gabriel Kleber Araújo;phkx8@bol.com.br;(97)94224-7585;766.264.469-99;03/08/2021 01:52:38;R$ 92.433,98;URGENTE|erro|revisar|ticket|ticket|auto|LIMPAR
444;Fernanda Castro;wwx_3@bol.com.br;(95) 92614-9876;687.947.891-76;18/03/2023 10:26:36;R$ 188.501,69;ticket|ticket|auto|protocolo|pendente|pendente|atenção
445;Ursula Castro;u320_91t@gov.br;(92) 95682-8484;455.621.657-55;17/12/2022 22:11:10;R$ 121.747,01;LIMPAR|###|protocolo
446;Bruno Nogueira;5fya_5@empresa.com.br;(91) 915951923;367.564.048-34;14/08/2022 00:30:34;R$ 238.448,01;manual|ok|atenção
447;Juliana Monteiro;p4vv6pvyt3w2@ufpa.br;97 986773903;264.504.667-69;14/04/2021 02:50:24;R$ 244.544,91;revisar|tmp|erro|atenção|atenção|protocolo|ok
448;Sabrina Oliveira;l65t.quifw@.com.br;(95) 959579987;110.130.724-44;03/02/2023 11:48:04;R$ 78.027,49;tmp|revisar|atenção|manual
449;Zuleica Gabriel Tavares;3kg.a3@ufpa.br;96 921285474;983.008.934-72;23/09/2024 02:19:12;R$ 78.100,31;csv|falhou|tmp|LIMPAR
450;Helena Rafael Pereira;8o9ukf6@ufpa.br;96 949358398;491.220.355-98;31/01/2025 21:20:42;R$ 60.575,55;atenção|anexo|URGENTE|duplicado|ok|normalizar
451;Juliana William Souza;ga0jd@empresa.com.br;(96) 96982-3609;113.031.772-42;28/10/2025 20:14:12;R$ 245.585,61;revisar|atenção|###|auto|manual|reenviado|???
452;juliana patrícia nogueira;jiail2utxempresa.com.br;(95) 51428-8156;495.975.235-1;11/02/2025 07:11:53;R$ 37.911,71;ticket|tmp|json|id|erro
453;Helena Ursula Araújo;nm8gkl@outlook.com;(98) 56675-7230;616.158.990-46;30/07/2024 15:23:48;R$ 90.000,92;duplicado|id|normalizar|ticket|tmp|protocolo|csv|***
454;Carlos Pereira;qca6c@hotmail.com;(98) 923550017;471.418.703-46;27/02/2023 18:12:21;R$ 59.910,21;pendente|URGENTE|atenção|ticket|auto|auto|falhou
455;Igor Costa;42ll95pei@outlook.com;(95) 51134-5983;288.348.990-2;27/06/2023 04:03:33;R$ 15.107,53;falhou|normalizar|normalizar
456;Larissa Araújo;6w_hwr23j2@outlook.com;(98) 998036205;896.604.647-76;13/06/2023 09:45:52;R$ 146.882,02;pendente|tmp|csv
457;Fernanda Lima;ov.bm_b@empresa.com.br;91 35280-1884;675.793.123-74;15/01/2024 23:57:41;R$ 144.236,37;duplicado|???|###|pendente|ok|csv|***|obs
458;sabrina ursula mendes;dxyu0hjfoutlook.com;98 933663600;130.619.254-10;13/11/2021 23:16:04;R$ 146.846,29;pendente|erro|revisar|ticket|revisar|pendente|id|protocolo
459;exfmxdlj@gmail.com;(92) 926622424;590.894.574-39;09/10/2022 07:29:17;R$ 131.775,24;protocolo|obs|###
460;Yasmin Tavares;0jccwr@@ufpa.br;(98) 972429464;095.278.745-82;11/11/2021 10:58:17;R$ 131.896,25;URGENTE|###|ticket|ok|reenviado|manual|tmp
461;thiago bruno mendes;vo5pg6h_se@empresa.com.br;99 969528182;795.288.871-00;05/09/2022 16:22:20;R$ 7.432,52;manual|LIMPAR|manual|obs|reenviado|protocolo|ticket
462;Ursula Costa;lnjs5xav@outlook.com;92 940144593;604.248.295-14;31/10/2024 09:44:02;R$ 145.397,01;ok|ticket|tmp|manual|id|???
463;Natália Rafael Tavares;@bol.com.br;97 10062-8834;090.847.557-41;27/03/2024 07:49:35;R$ 37.598,48;id|***|tmp|tmp|erro|revisar|###|erro
464;Vinícius Lima;7af9b@.com.br;(92) 97247-6247;672.827.296-12;27/10/2021 13:30:11;R$ 168.501,53;###|auto|***
465;Vinícius Natália Tavares;htuz_m49zgv@gov.br;94 949332818;40298977895;26/09/2021 07:21:09;R$ 4.317,14;anexo|erro|pendente|atenção|atenção|###
466;Rafael Castro;h8im8a_c0@gmail.com;92 917156781;363.699.302-29;31/03/2022 08:48:51;R$ 29.113,60;ticket|json|URGENTE|duplicado
467;William Oliveira;1tv6jawpw@outlook.com;(98) 96469-3357;069.521.972-93;25/08/2021 23:58:40;R$ 130.405,20;###|###|obs|URGENTE|tmp|revisar|pendente
468;Ana Pereira;t83oqc@ufpa.br;(93) 51454-2043;550.850.602-05;20/11/2022 19:31:26;R$ 89.537,93;auto|csv|falhou|ticket|***|LIMPAR|tmp|obs
469;Patrícia Cardoso;98 999069842;746.963.803-11;22/07/2023 15:47:02;R$ 150.671,02;tmp|reenviado|atenção|***
470;Natália Sabrina Silva;7i38qwz09pcb@outlook.com;(99) 52355-8903;938.539.187-84;18/01/2023 21:38:09;R$ 228.805,89;falhou|anexo|###|duplicado|manual|id|atenção|erro
471;Helena Marcos Santos;@gov.br;(99)91437-4796;327.358.648-10;R$ 203.043,98;LIMPAR|id|???|pendente
472;William Ursula Nogueira;@gov.br;(92) 948156730;872.802.574-63;07/05/2023 17:44:20;R$ 169.314,89;falhou|ticket|id|URGENTE|???
473;Helena Lima;nli6c@empresa.com.br;94 948681223;611.597.011-11;20/03/2025 10:34:24;R$ 89.837,68;csv|atenção|json|ok|URGENTE|csv|json
474;Zuleica Fernanda Tavares;kzu4m@loja.com.br;(91) 55609-6048;814.554.688-72;24/02/2024 01:13:04;R$ 150.019,52;ok|reenviado|falhou|revisar|revisar|id
475;Fernanda Mendes;r6zsk4@gmail.com;92 92241-6149;862.579.15-48;31/08/2024 21:23:11;R$ 6.928,53;LIMPAR|pendente|anexo|erro|csv|URGENTE|ok
476;Juliana Ursula Santos;onh2mvxdp@empresa.com.br;(96)93580-2847;261.294.272-39;09/05/2023 12:38:50;R$ 46.128,66;###|URGENTE|URGENTE
477;Sabrina Souza;m5hn.zuctc@outlook.com;94 938417048;29/08/2024 23:20:26;R$ 212.603,81;URGENTE|erro|anexo|obs|LIMPAR|atenção
478;Natália Gabriel Cardoso;ysceyjk@outlook.com;(97) 97635-6984;50864676019;08/12/2023 08:13:39;R$ 85.936,80;id|protocolo|auto|***|duplicado|csv|obs|revisar
479;Ursula Ana Castro;dohbqkqr@empresa.com.br;(91) 910246721;440.318.673-90;08/12/2024 07:00:55;R$ 165.691,69;csv|???|LIMPAR
480;Quésia Cardoso;svxfh@@ufpa.br;98 936804867;451.617.595-70;17/10/2021 05:10:50;R$ 125.971,20;###|LIMPAR|anexo|falhou|tmp
481;Ursula Sabrina Barbosa;9kog64a@@hotmail.com;95 967197770;286.892.650-67;22/08/2022 06:21:55;R$ 82.408,43;anexo|atenção|???|revisar|csv|???|obs|###
482;Thiago Araújo;@bol.com.br;95 86195-4522;498.551.549-93;03/10/2025 06:49:10;R$ 37.765,84;***|protocolo|falhou
483;Natália Nogueira;5cw08bpaallufpa.br;(99) 926130755;146.480.128-57;24/06/2022 12:35:54;R$ 50.133,43;duplicado|json|***|???|anexo|protocolo|revisar|protocolo
484;Juliana Helena Costa;i45zhm69s2oh@gov.br;97 946374483;189.218.927-42;18/12/2021 21:57:14;R$ 40.642,77;URGENTE|LIMPAR|auto|obs|reenviado
485;Rafael Almeida;z9qckw6n@loja.com.br;(96) 951628674;098.565.807-50;13/04/2023 16:25:48;R$ 215.146,30;anexo|tmp|auto|duplicado|revisar|protocolo|???
486;Thiago Cardoso;q8f.vr87b@gov.br;98 67760-1690;107.648.859-25;18/03/2021 22:00:11;R$ 53.396,21;revisar|ok|atenção
487;Gabriel Pereira;52yrx02oy2v@UFPA.BR;(97)92549-9005;252.800.102-06;28/07/2021 04:20:14;R$ 82.267,73;***|atenção|id
488;Kleber Mendes;iql0.eo@ufpa.br;93 918769404;413.725.263-5;11/08/2024 00:10:13;R$ 210.890,17;LIMPAR|auto|URGENTE|duplicado|???
489;Juliana Almeida;vvhjd8f5eoutlook.com;(91) 977406973;975.861.67-17;01/01/2021 05:30:36;R$ 116.214,60;json|manual|atenção
490;Igor Almeida;y.mhm_p6hof@loja.com.br;97 973840950;859.329.053-89;24/09/2024 01:15:09;R$ 146.563,29;protocolo|pendente|###|falhou|???
491;Helena Ana Almeida;axn5g@gmail.com;(94)92896-1313;596.145.046-79;19/04/2021 00:13:23;R$ 168.686,98;atenção|json|obs
492;Fernanda Cardoso;exg3c4glm3e@empresa.com.br;92 19032-5116;278.261.978-7;24/02/2021 00:25:56;R$ 56.102,72;json|###|LIMPAR|###|revisar|id|revisar
